id,image_ids,species,location,date,latitude,longitude,ind_conf
10378,19552,Coprinus comatus,"Mexico, Jalisco",2008-08-20,20.75994,-104.85216,87%
10383,19603;19604;19605;19606,Lactarius indigo,"Mexico, Jalisco",2008-08-21,20.67444,-103.3326,87%
10418,19686;19683;19684;19685;19700;19701;19708;19709,Lactarius indigo,"Mexico, Jalisco",2008-08-21,20.67444,-103.3326,93%
10462,19827,Hypomyces lactifluorum,"Mexico, Michoacan",2008-08-23,19.755,-100.37088,87%
10493,19884;19885;19886,Amanita muscaria,"USA, New Mexico",2008-08-18,35.81208,-105.76008,95%
10615,20170;20171,Artomyces pyxidatus,"Canada, Quebec",2008-08-09,45.8163,-77.03748,86%
10740,21444;21445,Hypomyces lactifluorum,"USA, New Mexico",2008-08-19,35.83386,-106.42608,84%
10818,20659,Amanita muscaria,"USA, Idaho",2008-09-06,44.9001,-116.1144,86%
10841,20701;20702,Boletus edulis,"Canada, British Columbia",2008-09-10,49.52142,-124.64892,84%
10979,21065;21066;21067;21068,Boletus edulis,"USA, Idaho",2008-09-06,44.9001,-116.11440000000002,75%
10981,21072;21073,Fuligo septica,"USA, California",2008-09-11,34.14402,-118.11888,87%
10999,21117;21118;21119,Amanita amerirubescens,"USA, Georgia",2008-09-12,32.77818,-83.23236,82%
11110,21509;21510;21567;59642,Mixed collection,"Mexico, Michoacan",2008-08-23,19.755,-100.37088,85%
11125,21527,Boletus edulis,"Mexico, Michoacan",2008-08-23,19.755,-100.37088,87%
11182,21681;21682;21683,Trametes versicolor,"Canada, Ontario",2008-09-15,45.79974,-77.13972,82%
11374,22318;22319;22320,Fuligo septica,"USA, California",2008-09-20,38.57526,-123.31296,86%
11435,22486;22487,Amanita muscaria,"New Zealand, South Island",2008-02-10,-43.88148,170.36244,76%
11584,22916;22917;22919,Cantharellus cinnabarinus,"USA, West Virginia",2008-09-26,37.88424,-80.98956,91%
11649,23111;23112,Ganoderma applanatum,"USA, Ohio",2008-09-27,39.35286,-82.03932,9%
11802,23525;23526,Fuligo septica,"USA, Oregon",2008-10-02,45.55062,-122.09292,86%
11948,23827;23828;23829,Amanita amerirubescens,"USA, South Carolina",2008-10-03,33.11658,-79.9434,82%
12022,24056;24057;24058;24059,Coprinus comatus,"Germany, Bavaria",2008-10-05,48.49434,11.60172,75%
12037,24090;24091;24092;24093;24099;24100,Coprinus comatus,"Canada, Ontario",2008-10-05,44.99856,-75.64068,91%
12290,24759;24760;24761;24762,Mixed collection,"USA, Washington",2008-10-10,47.17152,-122.2776,85%
12310,24807;24808,Coprinus comatus,"USA, California",2008-10-08,41.79978,-124.10352,88%
12315,24822;24823;24824;24825;24826,Mixed collection,"USA, Oregon",2008-10-10,45.45378,-122.56056,85%
12519,25238,Amanita muscaria,"USA, Oregon",2008-10-12,45.5427,-122.65452,94%
12532,25252,Grifola frondosa,Earth,2008-10-12,0.0,0.0,92%
12539,25259,Hypomyces lactifluorum,"USA, Oregon",2008-10-12,45.5427,-122.65452,86%
12721,25638;25639;25640;25641;25642,Boletus edulis,"USA, Oregon",2008-10-16,45.39978,-123.93144,82%
12754,25705,Coprinus comatus,"USA, Ohio",2008-10-17,41.0292,-82.12608,89%
12774,25755,Amanita muscaria,"USA, Ohio",2008-10-17,41.0292,-82.12608,89%
12784,25791;25792;25793;25794;25795;25796;25797;25821,Coprinus comatus,"Canada, Ontario",2008-10-17,44.99856,-75.64068,91%
12823,25909,Coprinus comatus,"Sweden, Skåne",2008-10-18,55.63998,13.20516,75%
12828,25930,Ganoderma applanatum,"USA, Oregon",2008-10-17,45.55062,-122.09292,86%
12842,25958;25959;25960,Coprinus comatus,"USA, Illinois",2008-10-18,42.09066,-87.76548,75%
12846,25970;25971;25972;25973,Pluteus cervinus,"USA, Georgia",2008-10-18,32.77818,-83.23236,84%
13001,26445,Grifola frondosa,"USA, Missouri",2008-10-22,38.52126,-90.53352,94%
13167,26917;26918;26919,Trametes versicolor,"USA, Pennsylvania",2008-10-26,40.31298,-77.01804,95%
13445,27677,Coprinus comatus,"USA, California",2008-11-02,39.31128,-123.72696,91%
13453,27704,Amanita muscaria,"USA, Oregon",2008-11-01,45.38646,-123.97752,84%
13460,27726,Boletus edulis,"USA, California",2007-11-05,38.11734,-122.87592,86%
13469,27759;27753;27754;27755;27758;27763;27764;27765,Coprinus comatus,"USA, California",2008-11-02,37.41336,-122.0814,92%
13485,27796;27797;27798,Trametes versicolor,"USA, California",2008-10-30,38.34342,-122.70384,74%
13513,27859,Amanita muscaria,"USA, California",2008-11-03,39.31128,-123.72696,57%
13516,27865;27867,Hypomyces lactifluorum,"USA, Oregon",2008-11-03,45.71514,-122.90508,88%
13541,27911;27909;27910,Boletus edulis,"USA, California",2008-11-04,39.31128,-123.72696,94%
13734,27977,Boletus edulis,"Sweden, Lapland",2007-08-20,67.07466,18.41184,91%
13745,27993;27994,Pluteus cervinus,"USA, Ohio",2008-11-04,39.35286,-82.03932,86%
13765,28036,Amanita muscaria,"USA, California",2008-11-06,39.31128,-123.72696,88%
13897,28344;28337;28338;28339;28343,Amanita muscaria,"USA, California",2008-11-08,38.57526,-123.31296,92%
13923,28410,Trametes versicolor,"USA, California",2008-11-09,39.31128,-123.72696,95%
13989,28597;28598;28599;28600,Mixed collection,"USA, California",2008-11-08,38.57526,-123.31296,85%
14001,28626;28627;28628;28629;28643,Boletus edulis,"USA, California",2008-10-29,38.49732,-122.96448,89%
14009,28670,Boletus edulis,"USA, California",2008-11-01,37.7577,-122.43744,93%
14119,28919,Mixed collection,"USA, California",2008-11-13,41.37534,-123.42096,85%
14398,29579,Amanita muscaria,"USA, California",2008-11-15,39.31128,-123.72696,60%
14399,29580,Amanita muscaria,"USA, California",2008-11-15,39.31128,-123.72696,83%
14489,29787,Boletus edulis,"USA, California",2008-11-22,38.11734,-122.87592,86%
14651,30226;30227;30228,Boletus edulis,"USA, California",2008-11-27,38.06802,-122.74092,92%
14717,30482;30483;30484;30485,Boletus edulis,"USA, Oregon",2008-10-17,45.38304,-123.80508,78%
14741,30551;30552;30705;30706;30707;30708,Amanita muscaria,"USA, California",2008-11-29,37.90674,-122.54544,84%
14761,30597;30817;30818,Amanita muscaria,"USA, California",2008-11-30,37.8783,-122.23548,96%
14809,30709;30710;30711,Amanita muscaria,"USA, California",2008-12-01,38.43558,-122.70348,93%
14950,31098;31097;31099,Amanita muscaria,"USA, Montana",2008-08-15,45.40626,-111.4236,84%
15016,31258;31259,Boletus edulis,"USA, California",2008-12-07,38.3985,-122.82732,86%
15019,31262;31264,Coprinus comatus,"USA, California",2008-12-06,37.92006,-122.0436,9%
15031,31285;31286;31287;31288,Amanita muscaria,"USA, California",2008-12-07,38.3985,-122.82732,85%
15283,31867;31868;31869;31870,Coprinus comatus,"USA, California",2008-12-12,34.94844,-119.59164,90%
15318,31968,Trametes versicolor,"USA, Tennessee",2008-10-18,35.6319,-83.7,81%
15319,31969,Trametes versicolor,"USA, Tennessee",2008-10-18,35.6319,-83.7,85%
15393,32191;32192,Pluteus cervinus,"USA, California",2008-12-14,39.31128,-123.72696,84%
15514,32568;32569,Boletus edulis,"USA, California",2008-12-17,37.8783,-122.23548,91%
15555,32647,Amanita muscaria,"USA, California",2008-11-12,38.57526,-123.31296,94%
15585,32747;32748;32749;32754;32755;32756;32757,Pluteus cervinus,"USA, Georgia",2008-12-21,32.77818,-83.23236,90%
15727,33019;33020;33021;33022;33023;33024;33025;33026;35986,Pluteus cervinus,"USA, Mississippi",2008-12-25,31.47282,-90.89604,94%
15814,33246;33247;33248;33249;33250;33251,Coprinus comatus,"USA, California",2008-12-03,38.71296,-122.90796,92%
15832,33624,Amanita muscaria,"USA, California",2008-12-28,37.81242,-122.18832,86%
15854,33351;33352;33353;33354,Pluteus cervinus,"USA, Georgia",2008-12-29,32.77818,-83.23236,84%
15865,33381;33382,Trametes versicolor,"USA, Ohio",2008-12-28,39.35286,-82.03932,92%
15888,33436;33437;33438;33439;33440,Coprinus comatus,"Canada, Saskatchewan",2008-10-04,52.1343,-106.64064,93%
16049,33921,Pluteus cervinus,"USA, California",2009-01-04,38.57526,-123.31296,86%
16066,33950;33951;33952,Coprinus comatus,"USA, California",2009-01-05,32.99472,-116.9334,88%
16100,34039;34036;34037;34038;34040;34041;34042,Amanita muscaria,"USA, California",2008-12-20,37.71702,-122.42268,94%
16218,34357;34358;34359;34360,Fuligo septica,"Canada, Saskatchewan",2008-06-07,52.1343,-106.64064,82%
16276,34493,Amanita muscaria,"USA, California",2009-01-11,36.97578,-122.04756,87%
16318,34597;34598;34599,Boletus edulis,"USA, California",2008-12-06,39.22812,-123.75792,92%
16334,34629,Coprinus comatus,"USA, California",2008-12-06,39.22812,-123.75792,74%
